dataset,metric,grpo_mean,baseline_mean,diff_grpo_minus_baseline,n_grpo,n_baseline,n_grpo_nonnull,n_baseline_nonnull
buchwald_hartwig_coupling,output_contract_recall,0.03125,0.0,0.03125,36,4,32,3
buchwald_hartwig_coupling,validation_coverage_score,0.735987,0.702778,0.033209,36,4,32,3
buchwald_hartwig_coupling,emittable,0.027778,0.0,0.027778,36,4,36,4
buchwald_hartwig_coupling,emitted,0.0,0.0,0.0,36,4,36,4
buchwald_hartwig_coupling,gate_score_hypothesis,1.0,1.0,0.0,36,4,32,3
buchwald_hartwig_coupling,gate_score_estimand,1.0,1.0,0.0,36,4,32,3
buchwald_hartwig_coupling,gate_score_data_applicability,0.5625,0.333333,0.229167,36,4,32,3
buchwald_hartwig_coupling,gate_score_multiplicity,1.0,1.0,0.0,36,4,32,3
buchwald_hartwig_coupling,gate_score_execution,0.75,0.666667,0.083333,36,4,32,3
buchwald_hartwig_coupling,gate_score_paper_fidelity,0.307783,0.25,0.057783,36,4,32,3
buchwald_hartwig_coupling,gate_score_assumption_admissibility,0.03125,0.0,0.03125,36,4,32,3
buchwald_hartwig_coupling,gate_score_robustness,0.708333,0.777778,-0.069445,36,4,32,3
buchwald_hartwig_coupling,gate_score_data_method_structural_fit,1.0,1.0,0.0,36,4,32,3
buchwald_hartwig_coupling,gate_score_internal_coherence,1.0,1.0,0.0,36,4,32,3
buchwald_hartwig_coupling,n_assumptions_declared,2.4375,2.333333,0.104167,36,4,32,3
buchwald_hartwig_coupling,assumption_all_held_frac,0.21875,0.0,0.21875,36,4,32,3
buchwald_hartwig_coupling,assumption_zero_held_frac,0.625,0.666667,-0.041667,36,4,32,3
buchwald_hartwig_coupling,n_output_contract_items_declared,4.28125,3.666667,0.614583,36,4,32,3
buchwald_hartwig_coupling,output_contract_all_held_frac,0.03125,0.0,0.03125,36,4,32,3
buchwald_hartwig_coupling,output_contract_zero_held_frac,0.96875,1.0,-0.03125,36,4,32,3
catechol_flow_chemistry,reward,0.246667,0.123268,0.123399,36,4,36,4
catechol_flow_chemistry,implementation_score,0.117269,0.101406,0.015863,36,4,36,4
catechol_flow_chemistry,data_score,0.295485,0.172123,0.123362,36,4,36,4
catechol_flow_chemistry,validation_credit,0.524306,0.308333,0.215973,36,4,36,4
catechol_flow_chemistry,abstention_bonus,0.004167,0.0,0.004167,36,4,36,4
catechol_flow_chemistry,action_cost_penalty,0.075556,0.0975,-0.021944,36,4,36,4
catechol_flow_chemistry,n_actions,7.555556,9.75,-2.194444,36,4,36,4
catechol_flow_chemistry,retrieval_bm25_score,40.868466,27.829505,13.038961,36,4,36,4
catechol_flow_chemistry,retrieval_rrf_score,0.015514,0.015262,0.000252,36,4,36,4
catechol_flow_chemistry,retrieval_best_intent_rank,4.599858,5.698718,-1.09886,36,4,36,4
catechol_flow_chemistry,category_entropy,2.51903,2.125903,0.393127,36,4,36,4
catechol_flow_chemistry,distinct_category_count,6.888889,5.875,1.013889,36,4,36,4
catechol_flow_chemistry,evidence_depth_full_text_frac,1.0,1.0,0.0,36,4,36,4
catechol_flow_chemistry,n_observations,656.0,656.0,0.0,36,4,19,2
catechol_flow_chemistry,cv_metric,0.498432,0.0,0.498432,36,4,19,1
catechol_flow_chemistry,bootstrap_sign_stability,0.702909,0.923287,-0.220378,36,4,19,1
catechol_flow_chemistry,paper_diagnostic_coverage,1.0,1.0,0.0,36,4,2,1
catechol_flow_chemistry,condition_number,,,,36,4,0,0
catechol_flow_chemistry,rubric_score,0.120619,0.135208,-0.014589,36,4,35,3
catechol_flow_chemistry,implementation_coverage_score,0.711429,0.541794,0.169635,36,4,35,3
catechol_flow_chemistry,assumption_check_recall,0.290476,0.5,-0.209524,36,4,35,3
catechol_flow_chemistry,output_contract_recall,0.0,0.0,0.0,36,4,35,3
catechol_flow_chemistry,validation_coverage_score,0.762857,0.769444,-0.006587,36,4,35,3
catechol_flow_chemistry,emittable,0.0,0.0,0.0,36,4,36,4
catechol_flow_chemistry,emitted,0.0,0.0,0.0,36,4,36,4
catechol_flow_chemistry,gate_score_hypothesis,1.0,1.0,0.0,36,4,35,3
